Unnamed: 0,Last,Previous,Highest,Lowest,Unnamed: 5,Unnamed: 6
Currency,96.99,97.18,165.0,70.7,,Jul/25
Stock Market,6279.0,6227.0,6287.0,4.4,points,Jul/25
GDP Growth Rate,-0.5,2.4,35.2,-28.1,percent,Mar/25
GDP Annual Growth Rate,2.0,2.5,13.4,-7.5,percent,Mar/25
Unemployment Rate,4.1,4.2,14.9,2.5,percent,Jun/25
Non Farm Payrolls,147.0,144.0,4631.0,-20471.0,Thousand,Jun/25
Inflation Rate,2.4,2.3,23.7,-15.8,percent,May/25
Inflation Rate MoM,0.1,0.2,2.0,-1.8,percent,May/25
Interest Rate,4.5,4.5,20.0,0.25,percent,Jun/25
Balance of Trade,-71.52,-60.26,1.95,-138.0,USD Billion,May/25
Current Account,-450.0,-312.0,9.96,-450.0,USD Billion,Mar/25
Current Account to GDP,-3.9,-3.3,0.2,-6.0,percent of GDP,Dec/24
Government Debt to GDP,124.0,122.0,126.0,31.8,percent of GDP,Dec/24
Government Budget,-6.2,-5.4,4.5,-14.7,percent of GDP,Dec/23
Business Confidence,49.0,48.5,77.5,29.4,points,Jun/25
Manufacturing PMI,52.9,52.0,63.4,36.1,points,Jun/25
Non Manufacturing PMI,50.8,49.9,67.6,37.8,points,Jun/25
Services PMI,52.9,53.7,70.4,26.7,points,Jun/25
Consumer Confidence,60.7,52.2,111.0,50.0,points,Jun/25
Retail Sales MoM,-0.9,-0.1,19.3,-14.4,percent,May/25
Building Permits,1394.0,1422.0,2419.0,513.0,Thousand,May/25
Corporate Tax Rate,21.0,21.0,52.8,1.0,percent,Dec/25
Personal Income Tax Rate,37.0,37.0,39.6,35.0,percent,Dec/25
